nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Blotzheim,BLOTZHEIM,68042,Commune simple,4526,4,68,44,200066058,1037571.88754,6732271.78901,47.604835,7.504814
Hochstatt,HOCHSTATT,68141,Commune simple,2143,1,68,44,200066041,1019843.26767,6742932.73088,47.701294,7.269202
Emlingen,EMLINGEN,68080,Commune simple,287,1,68,44,200066041,1022081.96148,6734020.19983,47.62322,7.289373
Hausgauen,HAUSGAUEN,68124,Commune simple,383,1,68,44,200066041,1024153.61396,6731493.49773,47.604841,7.321608
Faux,FAUX,24177,Commune simple,630,1,24,75,200040889,513881.902241,6412377.71724,48.650267,3.937253
Nesles-la-Vallée,NESLES-LA-VALLEE,95446,Commune simple,1843,3,95,11,249500430,639596.622741,6892210.5479,48.411802,-2.311219
Taverny,TAVERNY,95607,Commune simple,26441,1,95,11,200058485,643004.056154,6880999.51218,49.02124,2.20374
Herblay-sur-Seine,HERBLAY-SUR-SEINE,95306,Commune simple,29342,1,95,11,200058485,637816.663227,6878185.41631,48.993155,2.141236
Mimbaste,MIMBASTE,40183,Commune simple,1000,1,40,75,200069417,380630.70188,6291089.50091,43.658168,-0.958332
Saint-Martin-du-Tertre,SAINT-MARTIN-DU-TERTRE,95566,Commune simple,2778,2,95,11,200073013,651447.558063,6889515.49236,49.116696,2.332963
Burbach,BURBACH,67070,Commune simple,274,4,67,44,200067841,1001332.31568,6874281.8879,48.904449,7.112485
Peyrabout,PEYRABOUT,23150,Commune simple,153,2,23,75,200034825,616340.414897,6556193.60356,46.107372,1.910375
Bourdic,BOURDIC,30049,Commune simple,380,2,30,76,200034379,807080.048357,6320760.66855,43.984181,4.330805
Arabaux,ARABAUX,09013,Commune simple,76,1,09,76,200067791,588440.497712,6210008.57824,42.985123,1.642426
Cormeilles-en-Vexin,CORMEILLES-EN-VEXIN,95177,Commune simple,1402,3,95,11,200035970,628390.975252,6890838.51945,49.117608,2.019613
Saint-Maixant,SAINT-MAIXANT,23210,Commune simple,243,1,23,75,200044014,637930.157689,6544626.26371,45.989558,2.205422
Encausse-les-Thermes,ENCAUSSE-LES-THERMES,31167,Commune simple,694,2,31,76,200073146,516298.686407,6219726.90213,43.051243,0.738552
Bétignicourt,BETIGNICOURT,10044,Commune simple,33,1,10,44,200040137,807581.1502799998,6817575.16607,48.446337,4.457441
Vaux-sur-Seine,VAUX-SUR-SEINE,78638,Commune simple,4927,1,78,11,200059889,624944.132336,6879346.31952,49.00844,1.958365
Saint-Félix-de-Tournegat,SAINT-FELIX-DE-TOURNEGAT,09259,Commune simple,142,2,09,76,200044469,598607.983748,6225753.78132,43.131057,1.747902
Poyartin,POYARTIN,40236,Commune simple,833,1,40,75,200069631,388373.938569,6295313.18856,43.676644,-0.834768
Villeneuve-du-Paréage,VILLENEUVE-DU-PAREAGE,09339,Commune simple,765,2,09,76,200066231,589534.995483,6229780.6143,43.154857,1.637538
Calavanté,CALAVANTE,65120,Commune simple,335,3,65,76,200070803,469396.540048,6238023.85692,43.20717,0.166589
Ajaccio,AJACCIO,2A004,Préfecture de région,70659,1,2A,94,242010056,1173420.09252,6109771.62955,41.939737,8.753135
Celles,CELLES,09093,Commune simple,148,1,09,76,200067791,593493.680766,6202804.46698,42.916717,1.686717
Thonnelle,THONNELLE,55511,Commune simple,134,3,55,44,245501259,870754.923754,6941785.42132,49.553483,5.364478
Varilhes,VARILHES,09324,Commune simple,3424,1,09,76,200067791,588601.598427,6218268.87648,43.047358,1.639388
Longevelle-sur-Doubs,LONGEVELLE-SUR-DOUBS,25345,Commune simple,682,2,25,27,200065647,974870.219006,6712942.30258,47.453215,6.655997
Saint-Félix-de-Rieutord,SAINT-FELIX-DE-RIEUTORD,09258,Commune simple,460,1,09,76,200067791,591547.410937,6216990.9084,43.046432,1.672456
